episode,serviced_reward,gen_reward
623,-0.37,126.37
624,329.40999999999997,-206.40999999999997
625,-0.11999999999999998,160.12
626,1159.2300000000005,-1107.2300000000005
627,1119.5600000000002,-1086.5600000000002
628,1169.0800000000006,-1125.0800000000006
629,-0.24,157.24
630,269.05,-153.05
631,-0.31,161.31
632,1379.1800000000005,-1370.1800000000005
633,1179.2300000000002,-1140.2300000000002
634,109.31,50.69
635,1519.2000000000005,-1501.2000000000005
636,-0.4900000000000002,170.49
637,-0.18999999999999997,163.19
638,-0.5600000000000002,187.56
639,1369.1800000000003,-1320.1800000000003
640,1299.6000000000001,-1243.6000000000001
641,49.55999999999995,123.44000000000005
642,-0.29,158.29
643,69.74,102.26
644,59.30999999999999,125.69000000000001
645,1369.0000000000007,-1321.0000000000007
646,1299.0100000000002,-1261.0100000000002
647,1169.2300000000005,-1111.2300000000005
648,1019.0400000000005,-957.0400000000005
649,1269.0200000000004,-1226.0200000000004
650,289.35999999999996,-144.35999999999996
651,979.1900000000004,-907.1900000000004
652,1029.2100000000003,-992.2100000000003
653,1079.1600000000003,-1034.1600000000003
654,1168.9900000000007,-1141.9900000000007
655,789.4900000000001,-728.4900000000001
656,638.9700000000005,-581.9700000000005
657,888.6500000000011,-826.6500000000011
658,1109.1300000000006,-1098.1300000000006
659,699.0100000000006,-646.0100000000006
660,828.7900000000004,-787.7900000000004
661,449.4700000000005,-374.4700000000005
662,729.1800000000004,-682.1800000000004
663,349.36000000000035,-279.36000000000035
664,449.47000000000037,-360.47000000000037
665,379.5300000000002,-290.5300000000002
666,739.4800000000005,-701.4800000000005
667,549.7200000000003,-471.72000000000025
668,1068.4100000000005,-1039.4100000000005
669,679.1600000000005,-636.1600000000005
670,929.2000000000004,-889.2000000000004
671,729.1500000000004,-675.1500000000004
672,729.4400000000003,-674.4400000000003
673,619.1900000000003,-553.1900000000003
674,549.0500000000005,-493.0500000000005
675,1049.0300000000004,-1032.0300000000004
676,558.8900000000007,-479.89000000000067
677,1228.8500000000006,-1226.8500000000006
678,738.6500000000008,-694.6500000000008
679,1079.5500000000004,-1058.5500000000004
680,748.9100000000009,-705.9100000000009
681,1198.9600000000007,-1190.9600000000007
682,958.2600000000011,-936.2600000000011
683,1019.1100000000006,-1006.1100000000006
684,818.9300000000007,-808.9300000000007
685,829.0900000000006,-818.0900000000006
686,858.7500000000009,-853.7500000000009
687,768.7200000000005,-748.7200000000005
688,1049.1200000000006,-1049.1200000000006
689,919.0700000000004,-899.0700000000004
690,619.1300000000006,-606.1300000000006
691,779.2500000000003,-752.2500000000003
692,859.0000000000006,-849.0000000000006
693,568.9100000000005,-542.9100000000005
694,978.650000000001,-969.650000000001
695,908.7900000000009,-892.7900000000009
696,529.1000000000005,-489.1000000000005
697,639.0000000000002,-613.0000000000002
698,518.8100000000006,-469.8100000000006
699,988.8900000000008,-986.8900000000008
700,798.650000000001,-783.650000000001
701,628.6400000000004,-604.6400000000004
702,669.2300000000005,-656.2300000000005
703,389.49000000000007,-315.49000000000007
704,1248.7800000000009,-1243.7800000000009
705,549.0500000000004,-507.0500000000004
706,529.1400000000003,-495.1400000000003
707,939.1500000000005,-916.1500000000005
708,1049.1500000000005,-1031.1500000000005
709,868.8800000000008,-858.8800000000008
710,769.0700000000004,-749.0700000000004
711,949.1600000000003,-922.1600000000003
712,879.1900000000003,-837.1900000000003
713,969.4200000000002,-947.4200000000002
714,929.3200000000006,-910.3200000000006
715,499.31000000000006,-439.31000000000006
716,629.4200000000001,-599.4200000000001
717,1039.4400000000003,-1026.4400000000003
718,89.47999999999998,25.520000000000024
719,629.2100000000004,-588.2100000000004
720,959.5600000000001,-944.5600000000001
721,259.50000000000017,-173.50000000000017
722,839.2300000000001,-812.2300000000001
723,869.3300000000003,-834.3300000000003
724,49.68,57.32
725,569.2800000000003,-506.2800000000003
726,688.6200000000006,-637.6200000000006
727,1098.9200000000005,-1086.9200000000005
728,708.9400000000005,-639.9400000000005
729,849.2200000000005,-833.2200000000005
730,419.3700000000002,-357.3700000000002
731,499.17000000000036,-438.17000000000036
732,89.81,10.189999999999998
733,709.3200000000003,-655.3200000000003
734,748.9100000000002,-709.9100000000002
735,909.1500000000004,-886.1500000000004
736,929.1600000000003,-900.1600000000003
737,609.5900000000003,-573.5900000000003
738,459.56000000000006,-405.56000000000006
739,778.9300000000007,-764.9300000000007
740,839.4300000000002,-807.4300000000002
741,968.8400000000006,-949.8400000000006
742,278.95,-199.95
743,339.16,-277.16
744,718.9400000000007,-708.9400000000007
745,759.3400000000004,-751.3400000000004
746,469.05000000000035,-433.05000000000035
